Time (s),z3_pro_1,z3_pro_2,z3_pro_3,z4_pro_1,z4_pro_2,z4_pro_3,z3_none_1,z3_none_2,z3_none_3,z4_none_1,z4_none_2,z4_none_3
63296s,1.2413,1.2399,1.2407,1.2457,1.2549,1.2412,1.2718,1.242,1.2678,1.2593,1.2515,1.2401
63596s,1.2435,1.2395,1.2409,1.2469,1.2545,1.2432,1.2739,1.2445,1.2665,1.2573,1.2496,1.2337
63896s,1.2408,1.2379,1.2375,1.2455,1.2558,1.241,1.2718,1.2413,1.2662,1.2598,1.2493,1.2365
64196s,1.2435,1.2404,1.2407,1.2458,1.256,1.2392,1.2739,1.2442,1.2646,1.2545,1.2428,1.2349
64496s,1.2441,1.2394,1.2385,1.2463,1.257,1.2437,1.2731,1.2448,1.2668,1.2578,1.251,1.2378
64796s,1.2448,1.242,1.2407,1.2496,1.2573,1.2425,1.2744,1.2431,1.2667,1.259,1.2499,1.2388
65096s,1.2437,1.2406,1.2389,1.2468,1.2557,1.2413,1.2738,1.2463,1.2685,1.26,1.2537,1.241
65396s,1.2435,1.2397,1.2382,1.2466,1.2578,1.2426,1.2758,1.2458,1.2694,1.2605,1.2518,1.2404
65696s,1.2447,1.2413,1.237,1.2462,1.2571,1.2413,1.2747,1.2426,1.2681,1.2585,1.2488,1.2393
65996s,1.2464,1.2451,1.2397,1.2471,1.2587,1.2425,1.2775,1.2425,1.2671,1.2566,1.2459,1.2374
66296s,1.2463,1.2436,1.2427,1.2502,1.2596,1.2424,1.2749,1.2426,1.2656,1.2532,1.2485,1.238
66596s,1.247,1.2441,1.2413,1.2497,1.2602,1.2434,1.275,1.242,1.2667,1.2563,1.2505,1.2388
66896s,1.2462,1.2428,1.2419,1.2483,1.2602,1.2425,1.2727,1.243,1.2656,1.2553,1.2455,1.2353
67195s,1.2452,1.2437,1.2421,1.2487,1.261,1.2449,1.2768,1.246,1.2701,1.2587,1.2492,1.2363
67495s,1.2452,1.2447,1.2413,1.2512,1.2606,1.2459,1.2749,1.2454,1.2714,1.2608,1.254,1.2433
67795s,1.2447,1.2418,1.2409,1.248,1.259,1.243,1.2786,1.2465,1.2705,1.257,1.2477,1.2364
68095s,1.2485,1.2418,1.2414,1.2485,1.2593,1.241,1.2777,1.243,1.2688,1.2583,1.251,1.2419
68395s,1.2467,1.2422,1.2412,1.248,1.259,1.24,1.2787,1.2451,1.2734,1.2629,1.2558,1.2446
68695s,1.244,1.241,1.2413,1.2485,1.2584,1.2419,1.2761,1.2455,1.2665,1.2537,1.2434,1.2335
68995s,1.2468,1.2451,1.2403,1.2502,1.2597,1.2435,1.2773,1.2482,1.2706,1.2571,1.2495,1.2385
69295s,1.2468,1.2424,1.2405,1.2496,1.2568,1.244,1.2791,1.2461,1.2739,1.2627,1.2556,1.2433
69595s,1.2457,1.2429,1.2405,1.2495,1.2608,1.2448,1.2765,1.2473,1.2704,1.2601,1.2514,1.2416
69895s,1.2463,1.2446,1.2417,1.2496,1.2608,1.2457,1.2778,1.2465,1.2713,1.2599,1.253,1.2394
70195s,1.2484,1.2436,1.2421,1.2504,1.2596,1.245,1.2765,1.2458,1.2677,1.2579,1.2517,1.241
70495s,1.2471,1.2429,1.2414,1.2508,1.2586,1.2435,1.2778,1.2481,1.2701,1.2566,1.2478,1.2405
70795s,1.2456,1.244,1.2419,1.25,1.2595,1.2429,1.2771,1.2437,1.2666,1.2515,1.2447,1.2329
71095s,1.2468,1.2429,1.2417,1.2517,1.2638,1.2449,1.2806,1.2495,1.2738,1.261,1.2538,1.24
71395s,1.2474,1.2454,1.2417,1.2503,1.2594,1.243,1.2786,1.2487,1.2716,1.2574,1.248,1.2379
71695s,1.2464,1.2441,1.2428,1.2491,1.2579,1.2433,1.2796,1.2488,1.274,1.262,1.2538,1.2446
71995s,1.2476,1.2449,1.242,1.2515,1.2631,1.2455,1.2766,1.2486,1.2716,1.2577,1.2501,1.2402
72295s,1.246,1.2433,1.2438,1.2486,1.2595,1.2424,1.2794,1.2496,1.2709,1.2595,1.2537,1.2442
72595s,1.2487,1.2455,1.2424,1.2524,1.2625,1.2449,1.2771,1.2459,1.2704,1.2531,1.2458,1.233
72895s,1.251,1.2463,1.2425,1.2503,1.2632,1.2432,1.2784,1.2462,1.2702,1.2552,1.2512,1.2408
73195s,1.2495,1.2462,1.2448,1.253,1.2633,1.2468,1.2759,1.2468,1.2695,1.255,1.2446,1.2377
73495s,1.2467,1.244,1.242,1.2493,1.2596,1.2423,1.2807,1.2505,1.2744,1.2628,1.2564,1.2433
73795s,1.2497,1.2484,1.2439,1.2523,1.2631,1.2451,1.2771,1.2471,1.2714,1.2552,1.2476,1.2343
74095s,1.25,1.2467,1.2446,1.2528,1.2635,1.2455,1.2782,1.2486,1.2691,1.2545,1.2449,1.2367
74395s,1.2492,1.2454,1.2425,1.2501,1.2611,1.2458,1.2769,1.2467,1.271,1.2568,1.2488,1.2369
74695s,1.2496,1.2462,1.2443,1.2507,1.2605,1.2421,1.2818,1.2499,1.2737,1.2576,1.2483,1.2378
74995s,1.2505,1.2476,1.2447,1.251,1.2606,1.2444,1.2809,1.2488,1.2731,1.2573,1.2506,1.2393
75295s,1.2509,1.2477,1.2453,1.2517,1.2609,1.2424,1.2804,1.2502,1.2753,1.2607,1.2526,1.237
75595s,1.2488,1.245,1.2455,1.2514,1.2609,1.2462,1.2802,1.2485,1.2746,1.2602,1.2554,1.2444
75895s,1.2544,1.2479,1.2455,1.2535,1.2645,1.2438,1.2805,1.25,1.2777,1.2608,1.2575,1.2424
76195s,1.2525,1.2496,1.2466,1.2515,1.2627,1.2466,1.2797,1.2491,1.2724,1.2575,1.2483,1.2372
76495s,1.2501,1.2482,1.2446,1.2549,1.2627,1.2478,1.2845,1.252,1.276,1.2594,1.2523,1.2384
76795s,1.2516,1.2476,1.2431,1.2517,1.2629,1.2445,1.2798,1.2487,1.2715,1.2563,1.2517,1.2409
77095s,1.254,1.2503,1.2483,1.2533,1.2638,1.2475,1.2812,1.2526,1.2776,1.2608,1.2515,1.2411
77395s,1.2524,1.2485,1.2462,1.2518,1.2627,1.2436,1.2798,1.249,1.2744,1.2593,1.2548,1.2444
77695s,1.252,1.2472,1.2458,1.2507,1.2623,1.2464,1.2831,1.254,1.2768,1.2601,1.2511,1.2392
77995s,1.2503,1.2494,1.2455,1.2528,1.2626,1.2472,1.2849,1.2529,1.278,1.2628,1.2527,1.2394
78295s,1.25,1.2484,1.247,1.2552,1.2647,1.2492,1.282,1.2517,1.275,1.2591,1.2513,1.238
78595s,1.2526,1.2488,1.2456,1.2521,1.2636,1.2453,1.2817,1.2522,1.2771,1.2645,1.2588,1.2459
78895s,1.2534,1.2484,1.2486,1.2531,1.2645,1.2496,1.2836,1.2524,1.2767,1.2646,1.2581,1.2466
79195s,1.2552,1.2514,1.2501,1.2542,1.2663,1.247,1.2831,1.2522,1.2757,1.2596,1.255,1.246
79495s,1.256,1.2503,1.2495,1.2535,1.2642,1.246,1.2824,1.2524,1.2781,1.2621,1.2557,1.2483
79795s,1.2572,1.2506,1.2482,1.2532,1.2631,1.2472,1.2837,1.2513,1.2783,1.2611,1.2565,1.2466
80095s,1.2544,1.2517,1.2486,1.2556,1.2683,1.251,1.2846,1.2544,1.2797,1.264,1.2535,1.2415
80395s,1.2592,1.2536,1.2502,1.2565,1.2669,1.2495,1.2858,1.2529,1.2793,1.2627,1.2582,1.246
80695s,1.2564,1.2512,1.25,1.2563,1.2664,1.2507,1.2823,1.2525,1.2769,1.2586,1.2511,1.2415
