Time (s),z3_pro_1,z3_pro_2,z3_pro_3,z4_pro_1,z4_pro_2,z4_pro_3,z3_none_1,z3_none_2,z3_none_3,z4_none_1,z4_none_2,z4_none_3
14399s,0.18955,0.194,0.18523,0.18551,0.18055,0.18451,0.19274,0.17311,0.18795,0.18561,0.17517,0.17749
14699s,0.19689,0.19578,0.18809,0.18884,0.18517,0.18458,0.19575,0.17488,0.18981,0.18925,0.18005,0.18114
14999s,0.19527,0.19818,0.19263,0.19207,0.18761,0.18801,0.20147,0.17847,0.19184,0.19251,0.18074,0.18095
15299s,0.19986,0.20012,0.19737,0.19567,0.19086,0.19218,0.20367,0.18088,0.19661,0.19459,0.18371,0.18329
15599s,0.2051,0.20385,0.19647,0.20198,0.19432,0.19506,0.20674,0.18313,0.20167,0.20161,0.18712,0.18808
15899s,0.20459,0.20832,0.20121,0.2031,0.19684,0.19662,0.20986,0.18619,0.20385,0.20108,0.19078,0.18825
16199s,0.20924,0.21183,0.20607,0.20547,0.20136,0.20054,0.21344,0.18816,0.20547,0.20602,0.19531,0.19438
16499s,0.21165,0.21401,0.2085,0.20933,0.2047,0.20272,0.2182,0.19256,0.20927,0.21113,0.19845,0.19828
16799s,0.21601,0.21663,0.21359,0.21238,0.20588,0.20678,0.21974,0.19611,0.21248,0.21282,0.20414,0.20173
17099s,0.21822,0.22045,0.21669,0.21625,0.21141,0.21055,0.22524,0.19782,0.21738,0.22034,0.20492,0.20496
17399s,0.22327,0.22542,0.21698,0.21869,0.21614,0.21474,0.23123,0.20378,0.22053,0.22361,0.21074,0.20969
17699s,0.23037,0.23,0.2241,0.22504,0.21974,0.2165,0.23405,0.20699,0.2252,0.22753,0.21365,0.21018
17999s,0.23336,0.23448,0.22942,0.23017,0.22714,0.22338,0.24001,0.21069,0.23245,0.23197,0.21887,0.21508
18298s,0.23657,0.23841,0.23125,0.23298,0.22582,0.22614,0.24335,0.21393,0.23721,0.23714,0.22728,0.22233
18598s,0.23867,0.24308,0.23716,0.23928,0.23393,0.23131,0.24774,0.21581,0.24101,0.23913,0.22665,0.22588
18898s,0.24715,0.24621,0.24058,0.24076,0.23887,0.23607,0.25059,0.21893,0.24003,0.24185,0.2308,0.2266
19198s,0.24747,0.24947,0.24404,0.24388,0.23962,0.23796,0.25708,0.22194,0.24387,0.24847,0.23726,0.23273
19498s,0.25371,0.25131,0.24902,0.25021,0.24442,0.24316,0.26401,0.23035,0.25086,0.25117,0.2406,0.23673
19798s,0.25862,0.25936,0.25761,0.25404,0.24963,0.24976,0.26742,0.23106,0.25785,0.25902,0.2462,0.24068
20098s,0.2643,0.26663,0.25903,0.25947,0.25637,0.25427,0.27505,0.23678,0.25974,0.26296,0.25444,0.24756
20398s,0.26887,0.27215,0.26845,0.26583,0.2626,0.26042,0.2792,0.24175,0.26504,0.26998,0.25668,0.25166
